market,model,IC,ICIR,RankIC,RankICIR,AR,STD,MDD,Sharpe,Sortino,Calmar
csi300,factorvqvae,0.0128 ± 0.0009,0.0762 ± 0.0061,0.0398 ± 0.0010,0.2553 ± 0.0098,0.0860 ± 0.0227,0.1643 ± 0.0014,-0.2372 ± 0.0144,0.5009 ± 0.1253,0.7883 ± 0.2013,0.3608 ± 0.0821
sp500,factorvqvae,0.0003 ± 0.0035,0.0001 ± 0.0318,0.0035 ± 0.0035,0.0254 ± 0.0275,0.0208 ± 0.0123,0.1429 ± 0.0118,-0.1854 ± 0.0186,0.1458 ± 0.0882,0.2054 ± 0.1236,0.1176 ± 0.0753
